,0
0,0.1657
1,0.168
2,0.0155
3,0.2373
4,0.0691
5,0.1507
6,0.1791
7,0.2408
8,0.0381
9,0.2329
10,0.2312
11,0.1615
12,0.0448
13,0.1994
14,0.2358
15,0.126
16,0.2134
17,0.2121
18,0.1828
19,0.2113
20,0.1263
21,0.2284
22,0.2307
23,0.1086
24,0.2362
25,0.2317
26,0.1221
27,0.2321
28,0.233
29,0.2063
30,0.2333
31,0.2257
32,0.2388
33,0.2404
34,0.107
35,0.2363
36,0.2249
37,0.2382
38,0.1571
39,0.2399
40,0.2353
41,0.1688
42,0.2297
43,0.2372
44,0.213
45,0.237
46,0.2416
47,0.24
48,0.2349
49,0.2383
50,0.2096
51,0.2366
52,0.2401
53,0.2353
54,0.2429
55,0.2329
56,0.2425
57,0.0885
58,0.2425
59,0.2257
60,0.2441
61,0.2354
62,0.242
63,0.2395
64,0.2454
65,0.2381
66,0.2477
67,0.2208
68,0.2468
69,0.215
70,0.2439
71,0.1241
72,0.2401
73,0.2354
74,0.2544
75,0.2388
76,0.2391
77,0.0445
78,0.2443
79,0.235
80,0.2425
81,0.0998
82,0.2477
83,0.2323
84,0.2188
85,0.2423
86,0.2507
87,0.2341
88,0.2086
89,0.2445
90,0.2521
91,0.2435
92,0.2372
93,0.2176
94,0.2481
95,0.2261
96,0.2383
97,0.2453
98,0.2429
99,0.243
100,0.2462
101,0.1941
102,0.2363
103,0.2391
104,0.246
105,0.215
106,0.245
107,0.2471
108,0.2474
109,0.2338
110,0.2238
111,0.2412
112,0.2405
113,0.2084
114,0.2361
115,0.2398
116,0.2515
117,0.1709
118,0.2452
119,0.239
120,0.2498
121,0.2399
122,0.2444
123,0.2448
124,0.2494
125,0.1951
126,0.2458
127,0.2503
128,0.2465
129,0.2461
130,0.2239
131,0.2452
132,0.2443
133,0.2477
134,0.2483
135,0.243
136,0.2465
137,0.2362
138,0.249
139,0.2406
140,0.2471
141,0.2441
142,0.2509
143,0.2366
144,0.2453
145,0.1159
146,0.2438
147,0.2394
148,0.244
149,0.179
150,0.2414
151,0.2468
152,0.241
153,0.2384
154,0.2417
155,0.2418
156,0.2426
157,0.0522
158,0.2375
159,0.2392
160,0.2425
161,0.0667
162,0.2417
163,0.2441
164,0.2462
165,0.1357
166,0.2412
167,0.2431
168,0.2429
169,0.1249
170,0.2431
171,0.239
172,0.2413
173,0.1956
174,0.2423
175,0.2397
176,0.2407
177,0.2445
178,0.2283
179,0.2415
180,0.2404
181,0.2502
182,0.244
183,0.2396
184,0.2503
185,0.2363
186,0.2415
187,0.2452
188,0.2504
189,0.2331
190,0.2445
191,0.2318
192,0.2461
193,0.2314
194,0.2487
195,0.2458
196,0.246
197,0.2568
198,0.2482
199,0.247
200,0.25
201,0.2441
202,0.2485
203,0.2449
204,0.2518
205,0.2459
206,0.2508
207,0.2478
208,0.2464
209,0.2574
210,0.2477
211,0.255
212,0.2493
213,0.2549
214,0.2478
215,0.2479
216,0.2486
217,0.2146
218,0.2509
219,0.246
220,0.2508
221,0.2459
222,0.2486
223,0.2478
224,0.2491
225,0.2444
226,0.2482
227,0.2426
228,0.2454
229,0.2474
230,0.2432
231,0.2462
232,0.2497
233,0.2431
234,0.2483
235,0.2455
236,0.2502
237,0.246
238,0.2455
239,0.2514
240,0.2509
241,0.2447
242,0.2526
243,0.2459
244,0.2465
245,0.2507
246,0.2498
247,0.2505
248,0.2488
249,0.239
250,0.2492
251,0.2468
252,0.2468
253,0.2545
254,0.247
255,0.2486
256,0.249
257,0.2491
258,0.25
259,0.2484
260,0.2475
261,0.2522
262,0.2484
263,0.2444
264,0.2464
265,0.2492
266,0.2484
267,0.2455
268,0.2502
269,0.2462
270,0.2481
271,0.2447
272,0.2505
273,0.2487
274,0.2507
275,0.2458
276,0.2512
277,0.2442
278,0.2448
279,0.255
280,0.252
281,0.2472
282,0.246
283,0.2497
284,0.2532
285,0.2455
286,0.2483
287,0.2525
288,0.2485
289,0.2516
290,0.2523
291,0.2536
292,0.2476
293,0.2515
294,0.2463
295,0.2474
296,0.2483
297,0.248
298,0.2504
299,0.2394
300,0.2488
301,0.2441
302,0.2471
303,0.2487
304,0.2544
305,0.2431
306,0.2494
307,0.2491
308,0.249
309,0.252
310,0.2494
311,0.2478
312,0.2498
313,0.2535
314,0.2491
315,0.2505
316,0.2574
317,0.2486
318,0.2514
319,0.2308
320,0.2486
321,0.2462
322,0.2484
323,0.2544
324,0.2413
325,0.2479
326,0.2512
327,0.2508
328,0.2498
